venue_id,likely_home_team,fair_bip,tracked_bip,coverage_pct
759558741,BING,1869,1041,55.7
799996870,MURR,271,153,56.5
755602076,MSU,464,269,58.0
717342621,UAB,141,89,63.1
750456678,CHAR,156,103,66.0
787705469,HOU,553,365,66.0
712319335,PEPP,1376,918,66.7
705769326,LEH,481,333,69.2
756443112,M-OH,141,98,69.5
727234819,PV,850,608,71.5
739259100,QUIN,971,699,72.0
737073708,OHIO,1050,774,73.7
729931529,LBSU,1651,1252,75.8
784080001,NDSU,506,388,76.7
702606153,BALL,1145,886,77.4
724157463,VAN,322,267,82.9
709013865,IOWA,1214,1028,84.7
748074275,MICH,320,272,85.0
752353399,ILST,1012,866,85.6
733295204,LIU,849,729,85.9
789588652,JKST,1194,1029,86.2
769330968,MSU,1191,1039,87.2
726246754,WM,1322,1157,87.5
714887111,LIP,1377,1209,87.8
710179338,COR,451,397,88.0
703728348,TOWS,1062,953,89.7
742076245,MURR,685,615,89.8
705620886,YALE,1279,1151,90.0
774609101,HOF,771,698,90.5
757351269,COFC,1759,1594,90.6
720994701,SEMO,1546,1401,90.6
782092284,ARMY,1094,993,90.8
703727028,UNO,1454,1326,91.2
720935143,PRE,1190,1085,91.2
798601096,KSU,1225,1118,91.3
740716455,KENT,1148,1055,91.9
772268062,USF,1650,1528,92.6
797047772,LT,1546,1433,92.7
761922643,NE,1122,1041,92.8
761238405,NWST,1171,1089,93.0
793328132,EKY,1092,1017,93.1
764635166,CSB,1342,1254,93.4
727330076,UTRGV,1086,1016,93.6
705411956,UVU,1221,1143,93.6
772252933,TULN,1350,1264,93.6
778512320,SFA,1301,1220,93.8
728623339,APP,817,766,93.8
781953637,CCAR,1413,1327,93.9
722734231,EMU,1176,1105,94.0
779538684,PSU,1003,944,94.1
728889455,SELA,1713,1613,94.2
737704731,SCUS,1070,1009,94.3
714816794,BUT,845,797,94.3
792067913,NEOM,955,901,94.3
711670331,SDSU,1385,1308,94.4
720976374,GONZ,924,872,94.4
721454119,CAMP,1243,1174,94.4
732898945,UTA,1381,1306,94.6
772248568,RAD,1370,1302,95.0
786783367,VMI,1438,1368,95.1
749592921,LU,1632,1553,95.2
778648636,HALL,1240,1182,95.3
719267309,UTSA,1482,1415,95.5
768122366,NW,1115,1067,95.7
748166478,UNF,1354,1299,95.9
752433170,UNC,1643,1578,96.0
750940925,OSU,1342,1290,96.1
793671711,SIU,1273,1224,96.2
722221639,EIU,650,625,96.2
709307126,LMU,1180,1136,96.3
701412603,FAU,1922,1855,96.5
745742059,MASSL,61,59,96.7
729346519,BC,652,633,97.1
710507387,USD,1369,1334,97.4
740894061,ARK,1544,1504,97.4
711852607,PORT,39,38,97.4
729967014,UCI,1290,1258,97.5
756937604,ECU,1659,1619,97.6
769883916,LAM,1715,1673,97.6
789755109,UTAH,1283,1254,97.7
760689237,ELON,1306,1276,97.7
741645054,RUTG,1369,1339,97.8
771234735,RICH,1576,1541,97.8
728568039,ARST,1248,1220,97.8
708811359,IONA,136,133,97.8
751474986,RICE,1544,1511,97.9
770565327,WICH,1638,1603,97.9
753828545,GASO,1630,1595,97.9
768403256,STET,1853,1814,97.9
782017802,MIZZ,1325,1297,97.9
769959491,HCU,1094,1072,98.0
711136638,WIN,1768,1733,98.0
742998590,BAY,1416,1387,98.0
710178110,URI,1038,1017,98.0
757387886,VCU,1396,1368,98.0
791808041,SAC,1277,1252,98.0
748136604,ULM,1606,1575,98.1
700354309,ARIZ,1555,1525,98.1
764234204,TROY,1241,1218,98.1
782657210,UNCW,1449,1421,98.1
777722243,SIUE,837,821,98.1
769541977,HOU,1374,1348,98.1
789540818,MEM,1626,1595,98.1
787304491,UCF,1451,1425,98.2
729890718,OAK,907,891,98.2
710981987,FSU,1388,1363,98.2
787717667,EIU,109,107,98.2
703604385,AC,1350,1327,98.3
750801930,TCU,1371,1348,98.3
732757085,CCAR,59,58,98.3
701745270,ODU,1723,1696,98.4
772896339,CIT,1096,1078,98.4
723477307,GC,1467,1443,98.4
743961147,FGCU,1477,1453,98.4
760723157,MRST,193,190,98.4
798395136,STAN,1720,1695,98.5
768163595,CP,1498,1476,98.5
787350793,KU,1142,1125,98.5
775762184,NICH,1169,1152,98.5
729366117,USM,1318,1298,98.5
743622555,NIU,894,881,98.5
773426926,BUT,202,199,98.5
748017927,UNCG,1317,1298,98.6
796039093,TNTC,1800,1774,98.6
764263104,IW,1390,1370,98.6
776691959,ORST,1347,1328,98.6
728188832,CIN,1276,1258,98.6
717899872,FRES,1517,1498,98.7
765284379,UNLV,1538,1518,98.7
789620093,NCST,1536,1516,98.7
772999441,CLMB,819,808,98.7
795971832,PEAY,1092,1078,98.7
735065981,BC,639,631,98.7
783345152,WASH,1281,1266,98.8
709949684,WVU,1042,1029,98.8
757919319,UNA,1485,1467,98.8
731765811,MICH,1048,1035,98.8
757253057,UVA,1364,1347,98.8
729602797,AUB,1426,1409,98.8
749718787,LSU,1801,1780,98.8
728825792,ULL,1537,1518,98.8
799279503,UALR,1429,1412,98.8
793778428,MSM,906,895,98.8
767586176,BYU,1076,1063,98.8
792668382,VT,1398,1381,98.8
782892745,ASU,1562,1543,98.8
742668107,CAL,1419,1404,98.9
710295886,OKST,1161,1148,98.9
799861062,MCNS,1460,1444,98.9
701783506,LEH,372,368,98.9
740945812,UNC,92,91,98.9
708139520,APP,301,298,99.0
773335299,DUKE,1527,1512,99.0
779607345,UMBC,1262,1249,99.0
716858037,JMU,1080,1069,99.0
726800965,GT,1594,1578,99.0
736334635,MIZZ,209,207,99.0
721694597,MORE,980,971,99.1
702444168,SIND,1397,1384,99.1
730237377,M-OH,998,989,99.1
777193966,NAVY,1204,1193,99.1
786313991,ND,1199,1188,99.1
767864359,MER,1405,1392,99.1
720641899,LONG,1289,1278,99.1
783566721,OKLA,1386,1374,99.1
743657721,CSF,1177,1167,99.2
727734470,UCSD,1243,1233,99.2
789450186,PITT,1202,1192,99.2
722522465,VILL,944,936,99.2
762532039,NEV,1262,1252,99.2
761940248,BEL,1420,1409,99.2
778346728,ILL,1292,1282,99.2
756496899,FOR,1344,1333,99.2
741396082,QUC,1296,1285,99.2
757273265,UCD,1306,1295,99.2
769562102,ORU,1349,1340,99.3
744228051,ALST,917,911,99.3
700959543,WAKE,1287,1278,99.3
766487211,MRSH,1013,1006,99.3
768266905,SCU,1449,1439,99.3
769868306,UCLA,1504,1495,99.4
710139964,MIA,1628,1618,99.4
714793286,NMSU,1395,1386,99.4
706993812,UTU,1312,1304,99.4
730078377,SMC,1266,1259,99.4
783480202,PRIN,869,864,99.4
700087510,CONN,973,967,99.4
727067479,CHAR,1581,1572,99.4
732369757,HP,1363,1355,99.4
778011988,UAB,1579,1569,99.4
731094105,USA,1440,1431,99.4
762854295,ALST,523,520,99.4
738797099,IND,1072,1067,99.5
759876933,KENN,1473,1466,99.5
717519888,MOSU,1136,1130,99.5
779752589,WRST,1117,1111,99.5
783327585,MONM,1113,1107,99.5
748424646,MINN,758,754,99.5
774494707,ETSU,1276,1269,99.5
773610621,UCSB,1328,1322,99.5
778768924,LIB,1372,1365,99.5
751461781,UTSA,416,414,99.5
767726115,GW,1517,1509,99.5
741289665,GAST,1193,1187,99.5
