Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%
71,1141496832,A. Stucky,Andrew Stucky,Stucky,Andrew,C,UTSA,UTSA,730373120,UTSA,BBC,R,R,2,32,8,5,.600,.750,1.200,1.950,.600,0.0%,37.5%,0.00,12.5%,2.50,5.00,.500,50.0%,.736,-
71,1297547264,T. Kamaka,Titan Kamaka,Kamaka,Titan,2B,Mercer University,MER,730240512,Mercer,BBC,R,R,3,48,12,10,.600,.583,.800,1.383,.200,16.7%,8.3%,2.00,0.0%,0.67,-,.667,33.3%,.562,-
71,1306879489,D. Ruiz,Damian Ruiz,Ruiz,Damian,RF,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,2,24,7,5,.600,.714,.600,1.314,.000,14.3%,14.3%,1.00,0.0%,1.00,-,.750,0.0%,.583,100.0%
71,1876553123,K. Holiday,Khi Holiday,Holiday,Khi,CF,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,2,54,11,10,.600,.636,.600,1.236,.000,9.1%,9.1%,1.00,0.0%,1.00,-,.667,22.2%,.547,-
71,1800137342,J. Kwon,Junhyuk Kwon,Kwon,Junhyuk,2B,University of Nevada,NEV,4784,Nevada,BBC,R,R,2,30,8,5,.600,.750,.800,1.550,.200,12.5%,37.5%,0.33,0.0%,0.50,-,.750,25.0%,.640,-
71,1014056244,M. Hamlin,Mason Hamlin,Hamlin,Mason,3B,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,2,40,10,5,.600,.800,.600,1.400,.000,10.0%,40.0%,0.25,0.0%,2.00,-,.750,25.0%,.618,-
71,1682487759,M. Bolton,Matt Bolton,Bolton,Matt,CF,Binghamton University,BING,730155776,Binghamton,BBC,L,R,2,25,7,5,.600,.714,1.000,1.714,.400,14.3%,28.6%,0.50,0.0%,0.50,-,.750,25.0%,.683,-
71,1342169508,N. Quarless,Noah Quarless,Quarless,Noah,C,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,3,43,10,5,.600,.600,1.400,2.000,.800,10.0%,30.0%,0.33,10.0%,1.00,5.00,.400,60.0%,.626,-
71,1749071205,Z. Leite,Zach Leite,Leite,Zach,1B,Old Dominion University,ODU,3090,Old Dominion,BBC,L,L,2,37,11,10,.600,.636,.700,1.336,.100,9.1%,9.1%,1.00,0.0%,0.50,-,.667,22.2%,.580,-
71,1730210732,V. Gamberdella,Vince Gamberdella,Gamberdella,Vince,C,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,2,41,8,5,.600,.750,1.000,1.750,.400,25.0%,37.5%,0.67,0.0%,0.00,-,1.000,0.0%,.685,-
71,1032174369,B. Johnston,Brodie Johnston,Johnston,Brodie,3B,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,2,40,10,10,.600,.600,1.700,2.300,1.100,10.0%,0.0%,-,30.0%,2.00,3.33,.500,16.7%,.947,-
71,1342170366,M. Heaghney,Maloy Heaghney,Heaghney,Maloy,IF,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,2,33,11,10,.600,.636,.700,1.336,.100,9.1%,9.1%,1.00,0.0%,1.50,-,.667,22.2%,.580,-
71,1972601700,A. Laya,Angel Laya,Laya,Angel,OF,University of Oregon,ORE,4807,Oregon,BBC,L,R,3,50,11,10,.600,.636,1.300,1.936,.700,0.0%,0.0%,-,18.2%,1.67,5.00,.500,50.0%,.790,-
89,1730471649,A. Schnarrs,Ayden Schnarrs,Schnarrs,Ayden,3B,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,4,62,17,12,.583,.706,.750,1.456,.167,5.9%,11.8%,0.50,0.0%,1.50,-,.636,36.4%,.618,100.0%
89,1551542065,E. Williams,Eric Williams,Williams,Eric,2B,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,3,43,12,12,.583,.583,.750,1.333,.167,16.7%,0.0%,-,0.0%,0.33,-,.700,20.0%,.578,-
91,1262635776,C. Swain,Chase Swain,Swain,Chase,3B,La Salle University,LA S,730183680,La Salle,BBC,R,R,2,20,11,7,.571,.727,1.000,1.727,.429,0.0%,27.3%,0.00,0.0%,3.00,-,.571,42.9%,.675,-
91,1132720128,C. Fisher,Cal Fisher,Fisher,Cal,3B,Florida State University,FSU,101,Florida State,BBC,R,R,2,45,9,7,.571,.667,.714,1.381,.143,0.0%,22.2%,0.00,0.0%,0.50,-,.571,42.9%,.589,100.0%
