Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%
1767,1304398080,C. Tuupo,Chandler Tuupo,Tuupo,Chandler,1B,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,L,3,74,15,10,.100,.400,.100,.500,.000,6.7%,20.0%,0.33,0.0%,0.67,-,.111,66.7%,.296,100.0%
1767,1139965184,E. Amundson,Easton Amundson,Amundson,Easton,1B,University of Akron,AKR,540536064,Akron,BBC,L,R,3,42,13,10,.100,.231,.200,.431,.100,23.1%,7.7%,3.00,0.0%,0.67,-,.125,75.0%,.206,100.0%
1767,1332973312,A. Agresti,Adam Agresti,Agresti,Adam,C,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,3,36,11,10,.100,.182,.100,.282,.000,18.2%,9.1%,2.00,0.0%,0.00,-,.125,87.5%,.144,-
1767,1143040000,C. Bayne,Carson Bayne,Bayne,Carson,CF,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,3,45,12,10,.100,.250,.100,.350,.000,16.7%,8.3%,2.00,0.0%,0.33,-,.125,87.5%,.193,-
1767,1162131968,J. Figueroa,Josue Figueroa,Figueroa,Josue,1B,Florida A&M University,FAMU,5416,Florida A&M,BBC,S,R,3,12,10,10,.100,.100,.100,.200,.000,10.0%,0.0%,-,0.0%,0.00,-,.111,88.9%,.089,-
1767,1177008896,B. Pado,Blagen Pado,Pado,Blagen,RF,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,3,47,12,10,.100,.250,.400,.650,.300,41.7%,8.3%,5.00,8.3%,0.33,10.00,.000,100.0%,.288,-
1767,1182038272,O. Hull,Owen Hull,Hull,Owen,RF,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,3,59,15,10,.100,.400,.200,.600,.100,13.3%,26.7%,0.50,0.0%,1.00,-,.125,87.5%,.318,-
1767,1279488768,A. Duncan,Andrew Duncan,Duncan,Andrew,OF,Wright State University,WRST,5390,Wright State,BBC,R,R,3,46,11,10,.100,.182,.100,.282,.000,72.7%,0.0%,-,0.0%,0.00,-,.500,50.0%,.147,-
1767,1309501696,K. Morse,Krayton Morse,Morse,Krayton,C,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,3,36,11,10,.100,.091,.100,.191,.000,27.3%,0.0%,-,0.0%,0.00,-,.125,87.5%,.081,-
1767,1269669580,L. Rossi,Luke Rossi,Rossi,Luke,IF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,3,41,10,10,.100,.100,.100,.200,.000,80.0%,0.0%,-,0.0%,0.00,-,.500,50.0%,.089,-
1767,1210182431,T. Marsala,Thomas Marsala,Marsala,Thomas,LF,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,R,2,27,10,10,.100,.100,.400,.500,.300,40.0%,0.0%,-,10.0%,0.50,10.00,.000,100.0%,.203,-
1767,1962798655,C. Katayama-Stall,Cole Katayama-Stall,Katayama-Stall,Cole,3B,University of Portland,PORT,730360320,Portland,BBC,L,R,2,34,10,10,.100,.100,.200,.300,.100,50.0%,0.0%,-,0.0%,1.00,-,.200,80.0%,.125,-
1767,1044505388,B. Blomquist,Braylen Blomquist,Blomquist,Braylen,2B,Wright State University,WRST,5390,Wright State,BBC,L,R,3,42,11,10,.100,.182,.100,.282,.000,45.5%,0.0%,-,0.0%,0.00,-,.200,60.0%,.147,0.0%
1767,1714499500,C. Decker,Cole Decker,Decker,Cole,CF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,3,49,12,10,.100,.250,.100,.350,.000,16.7%,16.7%,1.00,0.0%,0.00,-,.125,87.5%,.190,-
1767,1354970264,N. Conner,Nate Conner,Conner,Nate,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,L,L,3,66,15,10,.100,.333,.100,.433,.000,13.3%,13.3%,1.00,0.0%,0.67,-,.111,88.9%,.249,-
1767,1060247839,A. Dupuy,Alex Dupuy,Dupuy,Alex,TWP,UAB,UAB,730345984,UAB,BBC,U,R,3,51,12,10,.100,.250,.100,.350,.000,16.7%,16.7%,1.00,0.0%,0.67,-,.125,87.5%,.190,100.0%
1785,1233812992,D. Kordic,Dylan Kordic,Kordic,Dylan,RF,Cal Poly,CP,5487,Cal Poly,BBC,L,R,3,28,11,11,.091,.091,.091,.182,.000,36.4%,0.0%,-,0.0%,0.33,-,.143,85.7%,.081,-
1785,1294953472,M. Ortega,Max Ortega,Ortega,Max,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,3,48,13,11,.091,.231,.091,.322,.000,15.4%,15.4%,1.00,0.0%,0.00,-,.111,88.9%,.175,-
1785,1336583168,N. Murray,Noah Murray,Murray,Noah,3B,University of Virginia,UVA,5415,Virginia,BBC,R,R,3,80,19,11,.091,.474,.364,.837,.273,10.5%,31.6%,0.33,5.3%,3.00,11.00,.000,75.0%,.403,-
1785,1074489600,S. OConnor,Sheehan OConnor,OConnor,Sheehan,2B,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,3,52,14,11,.091,.286,.182,.468,.091,35.7%,0.0%,-,0.0%,0.33,-,.167,83.3%,.245,-
1785,1294950656,K. Carpenter,Kaden Carpenter,Carpenter,Kaden,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,L,L,3,70,15,11,.091,.333,.091,.424,.000,33.3%,26.7%,1.25,0.0%,0.33,-,.167,83.3%,.245,50.0%
1785,1238203392,J. Hernandez,Jaylen Hernandez,Hernandez,Jaylen,LF,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,3,58,15,11,.091,.333,.182,.515,.091,26.7%,0.0%,-,0.0%,0.67,-,.143,85.7%,.278,100.0%
1785,1078424832,J. Donnelly,Joey Donnelly,Donnelly,Joey,P,Fordham University,FOR,730324992,Fordham,BBC,L,R,3,36,13,11,.091,.231,.364,.594,.273,15.4%,7.7%,2.00,7.7%,0.67,11.00,.000,87.5%,.266,-
1785,1310843392,R. Velazquez,Raymond Velazquez,Velazquez,Raymond,3B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,3,68,14,11,.091,.286,.091,.377,.000,35.7%,14.3%,2.50,0.0%,0.33,-,.167,83.3%,.215,100.0%
1785,1992035244,L. Pimentel-Guerrero,Luis Pimentel-Guerrero,Pimentel-Guerrero,Luis,LF,Sacramento State University,SAC,730293760,Sacramento State,BBC,S,R,3,51,13,11,.091,.231,.091,.322,.000,30.8%,7.7%,4.00,0.0%,0.00,-,.143,85.7%,.178,-
1785,1342167387,C. Bailey,Carter Bailey,Bailey,Carter,SS,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,3,62,14,11,.091,.286,.091,.377,.000,35.7%,14.3%,2.50,0.0%,0.33,-,.167,66.7%,.215,100.0%
1785,1881301362,J. McCarter,Jake McCarter,McCarter,Jake,LF,High Point University,HP,730321152,High Point,BBC,R,R,3,43,13,11,.091,.231,.182,.413,.091,23.1%,0.0%,-,0.0%,0.33,-,.125,75.0%,.208,-
1785,1168911894,B. Hollins,Beau Hollins,Hollins,Beau,1B,University of South Carolina,SCAR,730348544,South Carolina,BBC,S,L,3,45,12,11,.091,.167,.091,.258,.000,16.7%,8.3%,2.00,0.0%,0.33,-,.111,88.9%,.132,-
1785,1291671289,R. Felsch,Rowan Felsch,Felsch,Rowan,LF,UC Irvine,UCI,3031,UC Irvine,BBC,L,L,3,54,14,11,.091,.214,.182,.396,.091,35.7%,14.3%,2.50,0.0%,0.00,-,.143,85.7%,.189,-
1785,1224379083,J. Santoyo,Justin Santoyo,Santoyo,Justin,IF,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,3,47,13,11,.091,.231,.091,.322,.000,30.8%,0.0%,-,0.0%,0.67,-,.143,85.7%,.180,-
1785,1858340637,M. Vannoy,Matt Vannoy,Vannoy,Matt,C,Davidson College,DAV,730363136,Davidson,BBC,S,R,3,67,14,11,.091,.286,.091,.377,.000,42.9%,14.3%,3.00,0.0%,0.33,-,.200,80.0%,.215,-
1785,1544798855,T. Lagoni,Ty Lagoni,Lagoni,Ty,IF,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,3,67,13,11,.091,.231,.091,.322,.000,30.8%,15.4%,2.00,0.0%,0.00,-,.143,71.4%,.175,-
1785,1435229720,J. Haarde,Jake Haarde,Haarde,Jake,IF,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,3,37,12,11,.091,.167,.182,.348,.091,25.0%,8.3%,3.00,0.0%,0.00,-,.125,87.5%,.162,-
1802,1097597440,J. Harris,Jackson Harris,Harris,Jackson,1B,Samford University,SAM,730386432,Samford,BBC,L,L,3,46,13,12,.083,.154,.167,.321,.083,30.8%,7.7%,4.00,0.0%,0.67,-,.125,87.5%,.150,-
1802,1086427392,B. Thomas,Braxton Thomas,Thomas,Braxton,P,Cal Poly,CP,5487,Cal Poly,BBC,L,L,3,48,13,12,.083,.154,.083,.237,.000,23.1%,7.7%,3.00,0.0%,0.33,-,.111,66.7%,.122,100.0%
1802,1126855680,B. Cavill,Blake Cavill,Cavill,Blake,1B,Troy University,TROY,730378496,Troy,BBC,L,R,3,70,14,12,.083,.214,.083,.298,.000,21.4%,14.3%,1.50,0.0%,0.67,-,.111,88.9%,.163,-
1802,1297578240,R. Iffrig,Riley Iffrig,Iffrig,Riley,1B,Saint Louis University,SLU,2291,St. Louis,BBC,L,L,3,18,12,12,.083,.083,.083,.167,.000,25.0%,0.0%,-,0.0%,0.00,-,.111,88.9%,.074,-
1802,1289946112,S. Donahue,Scott Donahue,Donahue,Scott,C,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,3,58,12,12,.083,.083,.167,.250,.083,8.3%,0.0%,-,0.0%,0.67,-,.091,81.8%,.104,-
1802,1273233664,E. Thomas,Ethan Thomas,Thomas,Ethan,1B,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,3,54,13,12,.083,.154,.083,.237,.000,53.8%,7.7%,7.00,0.0%,0.33,-,.200,60.0%,.122,-
1802,1342170438,C. Johnson,Cole Johnson,Johnson,Cole,1B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,3,56,13,12,.083,.154,.333,.487,.250,38.5%,7.7%,5.00,7.7%,0.33,12.00,.000,100.0%,.210,-
1802,1080275585,P. Wilson,Peyton Wilson,Wilson,Peyton,SS,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,3,26,13,12,.083,.154,.083,.237,.000,30.8%,7.7%,4.00,0.0%,0.33,-,.125,87.5%,.122,100.0%
1802,1019896723,A. Brotz,Anthony Brotz,Brotz,Anthony,2B,Marist College,MRST,730374656,Marist,BBC,R,R,3,43,14,12,.083,.154,.083,.237,.000,7.1%,7.1%,1.00,0.0%,0.00,-,.091,90.9%,.122,-
1802,1941137108,C. Clapp,Cooper Clapp,Clapp,Cooper,2B,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,L,R,3,36,12,12,.083,.083,.333,.417,.250,16.7%,0.0%,-,8.3%,0.33,12.00,.000,100.0%,.169,-
1802,1700198774,K. Perez,Kenneth Perez,Perez,Kenneth,2B,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,3,52,14,12,.083,.214,.083,.298,.000,28.6%,7.1%,4.00,0.0%,0.33,-,.125,87.5%,.165,-
1802,1342170201,R. Muizelaar,Ryan Muizelaar,Muizelaar,Ryan,IF,Ball State University,BALL,730195456,Ball State,BBC,R,R,3,52,14,12,.083,.143,.083,.226,.000,28.6%,7.1%,4.00,0.0%,0.33,-,.111,88.9%,.113,-
1802,1041507423,T. Acevedo,Tyler Acevedo,Acevedo,Tyler,IF,Iona College,IONA,730242048,Iona,BBC,R,R,3,47,12,12,.083,.083,.083,.167,.000,16.7%,0.0%,-,0.0%,0.00,-,.100,90.0%,.074,100.0%
1815,1176126464,R. Robinson,Ryder Robinson,Robinson,Ryder,SS,Brigham Young University,BYU,730257152,BYU,BBC,S,R,3,55,13,13,.077,.077,.308,.385,.231,46.2%,0.0%,-,7.7%,0.33,13.00,.000,83.3%,.156,-
1815,1245882880,K. Cottam,Keaton Cottam,Cottam,Keaton,C,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,3,49,13,13,.077,.077,.077,.154,.000,53.8%,0.0%,-,0.0%,0.33,-,.167,83.3%,.068,-
1815,1178179328,P. Curtis,Preston Curtis,Curtis,Preston,RF,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,3,55,13,13,.077,.077,.154,.231,.077,53.8%,0.0%,-,0.0%,0.00,-,.167,83.3%,.096,-
1815,1204039680,D. Corona,Danny Corona,Corona,Danny,IF,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,3,48,13,13,.077,.077,.154,.231,.077,53.8%,0.0%,-,0.0%,0.00,-,.167,83.3%,.096,-
1815,1711212873,G. Roy,Gavin Roy,Roy,Gavin,SS,Washington State University,WSU,4505,Washington State,BBC,R,R,3,41,13,13,.077,.077,.077,.154,.000,23.1%,0.0%,-,0.0%,0.00,-,.100,90.0%,.068,-
1815,1617354666,C. Thorndyke,Colby Thorndyke,Thorndyke,Colby,1B,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,3,48,13,13,.077,.077,.077,.154,.000,38.5%,0.0%,-,0.0%,0.00,-,.125,87.5%,.068,-
1815,1657988572,L. Lowe,Logan Lowe,Lowe,Logan,SS,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,4,75,17,13,.077,.235,.077,.312,.000,23.5%,17.6%,1.33,0.0%,0.25,-,.100,90.0%,.175,100.0%
1815,1030419949,T. DePerno,Ty DePerno,DePerno,Ty,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,3,50,13,13,.077,.077,.077,.154,.000,23.1%,0.0%,-,0.0%,0.33,-,.100,90.0%,.068,100.0%
1815,1212541863,M. Garcia,Mateo Garcia,Garcia,Mateo,LF,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,R,3,63,14,13,.077,.143,.154,.297,.077,21.4%,7.1%,3.00,0.0%,0.33,-,.100,90.0%,.139,-
1815,1518410267,S. Mineo,Sal Mineo,Mineo,Sal,LF,University of Delaware,DEL,730203136,Delaware,BBC,L,L,3,43,14,13,.077,.143,.077,.220,.000,28.6%,0.0%,-,0.0%,0.33,-,.111,88.9%,.115,-
1815,1698724000,N. Burroughs,Noah Burroughs,Burroughs,Noah,TWP,University of Delaware,DEL,730203136,Delaware,BBC,R,R,3,49,13,13,.077,.077,.308,.385,.231,30.8%,0.0%,-,7.7%,0.33,13.00,.000,100.0%,.156,-
1815,1397117197,S. Oh,Seojun Oh,Oh,Seojun,C,High Point University,HP,730321152,High Point,BBC,L,R,3,59,13,13,.077,.077,.308,.385,.231,30.8%,0.0%,-,7.7%,0.33,13.00,.000,100.0%,.156,-
1815,1760377751,E. Dessens,Erick Dessens,Dessens,Erick,OF,Sacramento State University,SAC,730293760,Sacramento State,BBC,L,R,3,38,13,13,.077,.077,.077,.154,.000,23.1%,0.0%,-,0.0%,0.00,-,.100,90.0%,.068,-
1815,1566870585,J. Brown,JT Brown,Brown,JT,IF,Longwood University,LONG,730219264,Longwood,BBC,R,R,3,80,15,13,.077,.200,.154,.354,.077,26.7%,6.7%,4.00,0.0%,1.00,-,.111,77.8%,.178,-
1829,1888948361,J. Mueller,Jake Mueller,Mueller,Jake,IF,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,3,51,14,14,.071,.071,.071,.143,.000,42.9%,0.0%,-,0.0%,0.00,-,.125,87.5%,.063,-
1830,1162316032,M. DiMartini,Michael DiMartini,DiMartini,Michael,CF,Duke University,DUKE,730336256,Duke,BBC,R,R,4,54,17,16,.063,.118,.063,.180,.000,29.4%,5.9%,5.00,0.0%,0.00,-,.091,90.9%,.093,-
1830,1896838003,A. De La Rosa,Albert De La Rosa,De La Rosa,Albert,IF,University of Maine,ME,730275840,Maine,BBC,R,R,4,61,17,16,.063,.118,.250,.368,.188,23.5%,5.9%,4.00,5.9%,0.25,16.00,.000,100.0%,.160,-
1832,1254171392,R. Borho,Reese Borho,Borho,Reese,LF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,3,48,13,11,.000,.083,.000,.083,.000,53.8%,0.0%,-,0.0%,0.00,-,.000,100.0%,.061,-
1832,1169252608,S. Kane,Sam Kane,Kane,Sam,CF,University of Nevada,NEV,4784,Nevada,BBC,R,R,2,33,8,8,.000,.000,.000,.000,.000,75.0%,0.0%,-,0.0%,0.00,-,.000,100.0%,.000,-
1832,1110077952,W. Zapp,Walker Zapp,Zapp,Walker,C,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,2,37,11,10,.000,.091,.000,.091,.000,45.5%,9.1%,5.00,0.0%,0.00,-,.000,100.0%,.063,-
1832,1297504512,J. Waller,Jackson Waller,Waller,Jackson,CF,University of Nevada,NEV,4784,Nevada,BBC,R,R,2,29,8,7,.000,.000,.000,.000,.000,37.5%,0.0%,-,0.0%,0.00,-,.000,100.0%,.000,-
1832,1237388544,P. Seals,Pierre Seals,Seals,Pierre,RF,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,2,38,8,6,.000,.250,.000,.250,.000,37.5%,25.0%,1.50,0.0%,0.50,-,.000,100.0%,.174,-
1832,1310598144,W. Edmunson,Will Edmunson,Edmunson,Will,RF,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,2,31,8,8,.000,.000,.000,.000,.000,37.5%,0.0%,-,0.0%,0.00,-,.000,100.0%,.000,-
1832,1336567552,C. Smithwick,Campbell Smithwick,Smithwick,Campbell,C,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,2,27,7,6,.000,.143,.000,.143,.000,57.1%,0.0%,-,0.0%,0.50,-,.000,100.0%,.104,-
1832,1162602752,A. Ainsworth,Addison Ainsworth,Ainsworth,Addison,CF,Army West Point,ARMY,4744,Army,BBC,L,R,3,45,11,11,.000,.000,.000,.000,.000,63.6%,0.0%,-,0.0%,0.00,-,.000,100.0%,.000,-
1832,1310663424,C. Bryant,Cam Bryant,Bryant,Cam,2B,Ohio University,OHIO,730298368,Ohio,BBC,L,R,1,11,5,3,.000,.400,.000,.400,.000,0.0%,40.0%,0.00,0.0%,0.00,-,.000,100.0%,.279,0.0%
1832,1310371584,P. McDonald,Parker McDonald,McDonald,Parker,3B,Samford University,SAM,730386432,Samford,BBC,R,R,3,56,12,8,.000,.333,.000,.333,.000,33.3%,33.3%,1.00,0.0%,0.67,-,.000,100.0%,.232,100.0%
1832,1172414720,J. Osterhouse,Justin Osterhouse,Osterhouse,Justin,2B,University of Alabama,ALA,730206976,Alabama,BBC,L,R,3,52,11,8,.000,.273,.000,.273,.000,45.5%,27.3%,1.67,0.0%,1.00,-,.000,100.0%,.190,-
1832,1293479424,T. Thompson-Allen,Terrick Thompson-Allen,Thompson-Allen,Terrick,CF,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,3,47,11,9,.000,.182,.000,.182,.000,27.3%,18.2%,1.50,0.0%,0.00,-,.000,100.0%,.127,-
1832,1162106624,V. Colon,Vidal Colon,Colon,Vidal,LF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,1,13,4,3,.000,.250,.000,.250,.000,0.0%,25.0%,0.00,0.0%,0.00,-,.000,100.0%,.174,-
1832,1213318400,T. Campbell,Tyler Campbell,Campbell,Tyler,LF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,2,34,7,5,.000,.286,.000,.286,.000,14.3%,28.6%,0.50,0.0%,0.00,-,.000,100.0%,.199,-
1832,1240386560,M. Jensen,Max Jensen,Jensen,Max,3B,Vanderbilt University,VAN,5046,Vanderbilt,BBC,L,R,2,33,9,6,.000,.333,.000,.333,.000,22.2%,33.3%,0.67,0.0%,0.50,-,.000,100.0%,.232,-
1832,1304358144,K. Wolff,Kyle Wolff,Wolff,Kyle,1B,Boston College,BC,227,Boston College,BBC,R,L,2,34,8,7,.000,.125,.000,.125,.000,0.0%,0.0%,-,0.0%,0.00,-,.000,100.0%,.091,-
1832,1245930752,A. Alicea,Alex Alicea,Alicea,Alex,SS,University of Louisville,LOU,5467,Louisville,BBC,S,R,2,26,10,9,.000,.100,.000,.100,.000,10.0%,10.0%,1.00,0.0%,0.00,-,.000,100.0%,.070,-
1832,1178719232,E. Jones,Easton Jones,Jones,Easton,3B,Brigham Young University,BYU,730257152,BYU,BBC,R,R,3,49,12,10,.000,.167,.000,.167,.000,25.0%,8.3%,3.00,0.0%,0.00,-,.000,85.7%,.119,-
1832,1176047616,A. Swenson,Andrew Swenson,Swenson,Andrew,SS,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,3,40,10,9,.000,.100,.000,.100,.000,60.0%,10.0%,6.00,0.0%,0.00,-,.000,100.0%,.070,-
1832,1214696192,B. Fluharty,Billy Fluharty,Fluharty,Billy,CF,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,3,49,11,10,.000,.091,.000,.091,.000,45.5%,9.1%,5.00,0.0%,0.33,-,.000,80.0%,.063,100.0%
1832,1239325952,R. Drumm,Ryan Drumm,Drumm,Ryan,LF,Liberty University,LIB,730156288,Liberty,BBC,R,R,2,35,10,8,.000,.100,.000,.100,.000,20.0%,0.0%,-,0.0%,0.50,-,.000,100.0%,.073,-
1832,1310424320,T. Shimao,Tate Shimao,Shimao,Tate,3B,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,2,18,10,8,.000,.111,.000,.111,.000,40.0%,0.0%,-,0.0%,1.00,-,.000,100.0%,.081,100.0%
1832,1336600320,A. Potestio,Anthony Potestio,Potestio,Anthony,SS,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,R,2,43,9,7,.000,.222,.000,.222,.000,22.2%,22.2%,1.00,0.0%,0.50,-,.000,100.0%,.155,-
1832,1259726848,J. Nunez,Julian Nunez,Nunez,Julian,3B,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,2,29,7,5,.000,.286,.000,.286,.000,42.9%,28.6%,1.50,0.0%,0.00,-,.000,100.0%,.199,-
1832,1198394112,M. Crossland,Michael Crossland,Crossland,Michael,CF,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,2,30,9,9,.000,.000,.000,.000,.000,33.3%,0.0%,-,0.0%,0.00,-,.000,100.0%,.000,-
1832,1248450048,A. Stewart,Aiden Stewart,Stewart,Aiden,2B,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,3,53,12,7,.000,.417,.000,.417,.000,25.0%,33.3%,0.75,0.0%,0.33,-,.000,100.0%,.293,-
1832,1264275200,L. Pringle,Lucas Pringle,Pringle,Lucas,C,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,R,3,44,11,4,.000,.545,.000,.545,.000,9.1%,18.2%,0.50,0.0%,1.33,-,.000,100.0%,.391,100.0%
1832,1162532096,T. Lopez,Tracer Lopez,Lopez,Tracer,2B,Texas Tech University,TTU,2350,Texas Tech,BBC,L,R,2,30,8,5,.000,.143,.000,.143,.000,37.5%,12.5%,3.00,0.0%,0.00,-,.000,100.0%,.100,-
1832,1238208512,D. Maxcey,Dylan Maxcey,Maxcey,Dylan,C,University of Houston,HOU,3030,Houston,BBC,R,R,2,28,8,6,.000,.250,.000,.250,.000,12.5%,25.0%,0.50,0.0%,0.50,-,.000,100.0%,.174,-
1832,1236375552,H. Feinberg,Harrison Feinberg,Feinberg,Harrison,LF,Northeastern University,NE,343,Northeastern,BBC,R,R,2,29,7,7,.000,.000,.000,.000,.000,28.6%,0.0%,-,0.0%,0.00,-,.000,100.0%,.000,-
1832,1336353280,C. Brueggemann,Colin Brueggemann,Brueggemann,Colin,1B,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,2,32,7,6,.000,.000,.000,.000,.000,42.9%,0.0%,-,0.0%,0.00,-,.000,66.7%,.000,-
1832,1263164416,A. Haller,Austin Haller,Haller,Austin,2B,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,L,R,3,76,14,10,.000,.286,.000,.286,.000,28.6%,28.6%,1.00,0.0%,0.33,-,.000,100.0%,.199,100.0%
1832,1203468032,C. Grotyohann,Connor Grotyohann,Grotyohann,Connor,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,2,14,8,8,.000,.000,.000,.000,.000,37.5%,0.0%,-,0.0%,0.00,-,.000,100.0%,.000,-
1832,1332976128,J. Hopko,Jack Hopko,Hopko,Jack,LF,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,L,2,21,9,7,.000,.222,.000,.222,.000,33.3%,22.2%,1.50,0.0%,0.50,-,.000,100.0%,.155,-
1832,1310670336,L. Trippel,Lance Trippel,Trippel,Lance,C,University of South Florida,USF,2292,South Florida,BBC,R,R,2,22,8,8,.000,.000,.000,.000,.000,0.0%,0.0%,-,0.0%,0.50,-,.000,100.0%,.000,-
1832,1336563968,R. Jackson,Riley Jackson,Jackson,Riley,C,University of Houston,HOU,3030,Houston,BBC,R,R,2,28,9,8,.000,.111,.000,.111,.000,22.2%,11.1%,2.00,0.0%,0.00,-,.000,100.0%,.077,-
1832,1132730624,L. Day,Lucas Day,Day,Lucas,1B,Oakland University,OAK,5386,Oakland,BBC,L,L,2,28,9,8,.000,.111,.000,.111,.000,55.6%,0.0%,-,0.0%,0.00,-,.000,100.0%,.081,-
1832,1297347584,J. Hylton,Jayden Hylton,Hylton,Jayden,1B,Stetson University,STET,730261504,Stetson,BBC,R,R,2,42,9,8,.000,.111,.000,.111,.000,77.8%,11.1%,7.00,0.0%,0.00,-,.000,0.0%,.077,-
1832,1287364608,D. Berkland,Drew Berkland,Berkland,Drew,LF,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,2,49,11,9,.000,.182,.000,.182,.000,36.4%,9.1%,4.00,0.0%,1.00,-,.000,100.0%,.130,100.0%
1832,1327580416,J. Mennella,Joseph Mennella,Mennella,Joseph,1B,Wagner College,WAG,730192640,Wagner,BBC,R,R,3,57,11,7,.000,.364,.000,.364,.000,54.5%,27.3%,2.00,0.0%,0.33,-,.000,100.0%,.256,-
1832,1194279680,Z. Rice,Zac Rice,Rice,Zac,C,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,2,23,8,7,.000,.125,.000,.125,.000,25.0%,12.5%,2.00,0.0%,0.00,-,.000,100.0%,.087,-
1832,1306688000,A. Newton,Armani Newton,Newton,Armani,RF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,L,L,2,22,7,4,.000,.429,.000,.429,.000,42.9%,42.9%,1.00,0.0%,0.50,-,.000,100.0%,.299,-
1832,1257493248,J. Castagnola,James Castagnola,Castagnola,James,1B,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,3,56,14,11,.000,.154,.000,.154,.000,35.7%,0.0%,-,0.0%,0.67,-,.000,100.0%,.112,-
1832,1143035136,J. Butler,Jake Butler,Butler,Jake,3B,George Mason University,GMU,730265088,George Mason,BBC,R,R,3,47,11,8,.000,.273,.000,.273,.000,54.5%,27.3%,2.00,0.0%,0.33,-,.000,100.0%,.190,-
1832,1310924800,S. Gates,Sam Gates,Gates,Sam,RF,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,3,50,11,7,.000,.273,.000,.273,.000,18.2%,27.3%,0.67,0.0%,0.33,-,.000,100.0%,.190,100.0%
