,,Avg. Exit Velo,Barrel%,Whiff%,Chase%,Avg. Exit Velo SD,Barrel% SD,Whiff% SD,Chase% SD,
,,86.2,17.40,22.9,23.1,4.20,7.78,6.51,5.58,
Team,Avg Exit Velocity,Barrel%,Whiff%,Chase%,EV Score,Barrel Score,Whiff% Score,Chase% Score,Offensive Power Rating,Power Rating
Cole Koniarsky,86.4,16.3,16.4,24.2,52,44,84,42,58,117
Lucas Smith,86.4,17.4,14.6,20.8,52,50,90,66,66,132
Ian Francis,86.4,16.1,27.3,22,52,43,25,58,44,87
Brody Williams,86.4,20,19.4,17.8,52,63,70,83,65,131
Tait Nunnally,86.4,18.8,22.4,21.8,52,57,53,59,54,109
Max Galvin,86.4,15.1,15.7,26.2,52,38,87,29,56,111
Ryan Peterson,86.4,19.5,19.7,24.3,52,61,69,41,56,112
Kane Kepley,86.4,19.5,10.3,15.9,52,61,97,90,75,149
Lauden Brooks,86.4,17.4,23.1,19.9,52,50,49,72,55,109
Justin Stransky,86.4,16.8,12.7,22.6,52,47,94,54,64,128
Marcos Rosales,86.4,24,22.7,22.8,52,80,51,52,56,112
Matt Scherrman,86.4,15.3,26.5,24,52,39,29,44,41,83
Adam Magpoc,86.4,24.8,25.3,24.4,52,83,36,41,49,99
Graham Mastros,86.4,23.2,24.6,21.2,52,77,40,63,54,109
Ryan Rivera,86.4,14.4,10.1,24.5,52,35,98,40,61,121
Tyler Cerny,86.4,20.3,23.7,30.4,52,65,45,10,43,87
Levi McAllister,86.4,17.9,29.8,19.9,52,53,14,72,45,89
Christian Rush,86.4,20.3,24.9,20.3,52,65,38,69,53,106
Riley Iffrig,86.4,16.4,16.2,22.4,52,45,85,55,61,123
Garrett Wright,86.4,10.9,17.2,28.1,52,20,81,18,49,98
Zak Goodwin,86.4,17,13.2,10,52,48,93,99,73,146
Dean O'Neill,86.3,20.5,23.3,26.9,51,65,48,25,47,94
Matthew Miura,86.3,15.8,7.7,10.6,51,42,99,99,74,147
John LaFleur,86.3,23.6,21.9,24.6,51,79,56,39,54,109
Eli Lopez,86.3,22.6,15.5,18,51,75,87,82,72,143
JJ Dutton,86.3,12.4,22.4,22.6,51,26,53,54,48,97
Jayden Smith,86.3,14,22.6,24.2,51,33,52,42,47,94
Jaxon Willits,86.3,22.9,19.2,16.7,51,76,72,87,68,136
Eddie Leon,86.3,18.9,30.2,34,51,58,13,3,31,62
Nathan Gamez,86.3,16.7,13.8,22.5,51,46,92,54,63,126
Henry Zenor,86.3,14.2,10.4,18.9,51,34,97,77,68,135
Brenden Stressler,86.3,21.1,18.7,19,51,68,74,77,66,131
Toby Hueber,86.3,17.7,20.7,23.9,51,52,63,44,53,107
Michael Gupton,86.3,25.7,30.6,41.9,51,86,12,0,34,68
Tatum Marsh,86.3,17.8,14.8,22.8,51,52,89,52,63,126
Tyler Bickers,86.3,18.3,14.6,16.2,51,55,90,89,71,142
Branden Sanchez,86.3,4.4,22.5,15.2,51,5,52,92,53,105
Jaime Perez,86.3,2,9.9,13.1,51,2,98,96,67,134
David Coppedge,86.3,20.7,23.4,26,51,66,47,30,48,96
James Harris,86.3,16.5,20.9,14.9,51,45,62,93,62,124
Elijah Lambros,86.3,24,21.3,20.3,51,80,60,69,62,123
Avery Neaves,86.3,16.5,29.5,16.2,51,45,16,89,47,94
Cole Smith,86.2,17.3,20,16.6,50,49,67,88,63,125
Steven Milam,86.2,18.2,15.6,26,50,54,87,30,58,115
Brayden Martin,86.2,12.1,5,8.2,50,25,100,100,71,142
Josh Hankins,86.2,10,15,18.4,50,17,89,80,63,125
Daniel Haab,86.2,21.7,14.2,25.2,50,71,91,35,62,125
Jaxson West,86.2,16,9.6,18.9,50,43,98,77,69,138
Kydese Queen,86.2,0,17.8,18.3,50,1,78,81,57,115
Tanner Thomas,86.2,20.3,24.4,21.5,50,65,41,61,52,103
Owen Lee,86.2,20.7,17.2,20.7,50,66,81,67,65,130
Hunter Sute,86.2,12.1,25.1,16.1,50,25,37,90,50,100
Davis Johnson,86.2,19.8,32.4,23.3,50,62,7,49,39,77
Terrence Kiel II,86.2,9.2,24.4,21,50,15,41,65,45,90
Jeremy Sangalang,86.2,11.1,9,14.8,50,21,98,93,69,138
Payton Whitehead,86.2,26.2,28.2,23.3,50,87,21,49,47,93
Jake Harvey,86.2,18.4,11.6,16.4,50,55,96,89,72,144
DJ Dillehay,86.2,18.9,24.5,38,50,58,40,0,38,77
Tyler White,86.2,13.9,19.6,18.1,50,33,69,82,60,119
Trent Adelman,86.2,16.8,23.8,28,50,47,45,19,42,83
Filip Sarota,86.2,5.6,22.7,21.3,50,6,51,63,46,93
Victor Izquierdo,86.2,19.8,23.5,28.3,50,62,46,18,44,88
Pete Daniel,86.2,14.4,18.7,28.1,50,35,74,18,49,97
Kyle McDaniel,86.2,10.6,7.2,14.5,50,19,99,94,69,138
Duncan Mathews,86.1,14.9,13.8,13.4,49,37,92,96,70,139
Caleb Daniel,86.1,14.7,15.7,21.2,49,36,87,63,61,123
Cayden Smith,86.1,20.9,22.9,24.2,49,67,50,42,51,101
Landon Penfield,86.1,27.6,27.8,25.2,49,90,23,35,45,89
Diego Castellanos,86.1,22.1,13.4,16.7,49,73,93,87,73,147
Sam Hardcastle,86.1,19.3,19.2,21.6,49,60,72,61,60,119
Ely Brown,86.1,11.7,12.2,14.6,49,23,95,94,68,136
Ryan Lordier,86.1,4.8,10.9,15.7,49,5,97,91,65,130
Derek Holmes,86.1,13.3,14.8,21.5,49,30,89,61,61,121
Cameron Chee-Aloy,86.1,19.5,16.1,21.9,49,61,85,59,64,127
Caden Miller,86.1,25,21.1,14.5,49,84,61,94,67,133
Bryce Ronken,86.1,13.3,24.7,15.6,49,30,39,91,52,103
Connor Roche,86.1,14.3,14.6,25.6,49,35,90,33,56,112
Brady Bean,86.1,17.1,22.1,15.3,49,48,55,92,59,119
Caleb Johnson,86.1,14.9,26.9,25.7,49,37,27,32,37,75
Cayden Brumbaugh,86.1,16.9,15.5,24.3,49,47,87,41,59,117
David Novak,86.1,22.1,21,28,49,73,61,19,50,101
Hayden Federico,86.1,18.3,17.7,19.7,49,55,79,73,64,127
Kenny Ishikawa,86.1,19.1,13.8,28.1,49,59,92,18,57,114
Landon Russell,86.1,16.4,24.4,27.2,49,45,41,23,41,82
Preston Knott,86.1,14.4,17.2,21.6,49,35,81,61,59,118
Matthew Sutera,86,12.5,23.5,18.6,48,26,46,79,51,101
Jaden Jones,86,6.5,18.2,22.4,48,8,76,55,52,104
Zion Rose,86,22.1,16.8,26.5,48,73,83,27,58,116
CJ Moran,86,11.8,15.5,24.9,48,24,87,37,54,108
Jackson Hower,86,6.9,27,34,48,9,26,3,27,53
Conlon Walker,86,12,13.9,24,48,24,92,44,57,113
Harry Carr,86,14.8,29.4,23.8,48,37,16,45,36,72
Pat DAmico,86,27.4,24.6,20.6,48,90,40,67,56,111
Samson Pugh,86,20.9,26.2,29.7,48,67,31,12,38,77
Wallace Clark,86,24.2,14.1,18.5,48,81,91,80,72,144
Harrison Didawick,86,21.6,27.9,25.4,48,71,22,34,41,82
Three Hillier,86,18.8,14.6,18.8,48,57,90,78,68,136
Dylan Nevar,86,16.7,22.7,21.4,48,46,51,62,52,103
Davis Hamilton,86,18.5,11.8,19,48,56,96,77,69,138
Cole Prout,86,24.6,24.2,27.1,48,82,42,24,47,93
Alejandro Garza,86,13.3,14,28.9,48,30,91,15,52,103
A.J. Martin,86,24.2,18.4,31.3,48,81,76,7,53,106
Alex Madera,86,13.4,14.5,17.2,48,30,90,86,66,131
Connor Capece,86,15.3,20.9,22.7,48,39,62,53,52,104
Will Vergantino,86,18.1,16.3,24.2,48,54,84,42,59,117
Blake Barton,86,13.7,21.6,20,48,32,58,71,53,106
Finley Bates,86,12.2,12.7,14.3,48,25,94,94,68,135
TJ Aiken,86,21.7,32.3,18.6,48,71,7,79,46,91
Ben Robichaux,86,25.4,34,22.3,48,85,4,56,42,84
Jeffrey Ince,86,26.4,20,22.8,48,88,67,52,61,121
Clay Badylak,86,14.3,19.8,25.5,48,35,68,33,49,98
Isaiah Lane,86,19.2,18.7,19,48,59,74,77,63,127
Zandt Payne,86,11.4,15.4,21.4,48,22,88,62,59,118
Cooper Combs,86,16.2,15.7,21.3,48,44,87,63,62,124
Austin Neuweg,86,18.9,26.8,25.6,48,58,27,33,40,81
Ethan Brown,86,10.5,16.9,21.4,48,19,82,62,57,113
Jake Bold,86,15.4,23.9,16.5,48,40,44,88,54,107
Luke Luskey,85.9,21.4,31.4,24.1,47,70,10,43,38,77
Brayden Leonard,85.9,9.1,17.9,24.3,47,14,78,41,50,101
Wesley Alig,85.9,13.2,24.9,23.5,47,29,38,47,42,83
Evan Joubert,85.9,19,21.5,16.1,47,58,59,90,61,121
Anthony Zollo,85.9,5.3,12.1,16.1,47,6,95,90,64,128
Nick Monile,85.9,12.5,9.6,10.7,47,26,98,99,70,139
Sawyer Smith,85.9,18.7,28.3,25.5,47,57,20,33,38,76
Tyler Howard,85.9,20,23.6,27.4,47,63,46,22,44,88
Phoenix Call,85.9,15.3,17.9,28.3,47,39,78,18,49,99
Aidan Quinn,85.9,16,16.7,22.8,47,43,83,52,58,116
Evan Meier,85.9,4.5,20.5,19.4,47,5,64,75,51,103
Eli Brown,85.9,22.2,31.3,17,47,73,10,86,48,95
Robbie Ayers,85.9,16.8,19,24.6,47,47,73,39,53,106
Tommy Eisenstat,85.9,11.4,17.8,23.7,47,22,78,46,52,105
Wyatt Patchett,85.9,9.1,34.5,21.5,47,14,4,61,32,64
Hunter Snyder,85.8,11.5,21.6,20.8,46,22,58,66,50,100
Chandler Riley,85.8,17,18.8,20.9,46,48,74,65,58,117
Jaden Collura,85.8,13.5,15.3,23.3,46,31,88,49,57,114
Kyle Edwards,85.8,18.8,24.4,23.2,46,57,41,49,47,94
Kody Watanabe,85.8,9.6,19.6,17.5,46,16,69,84,56,112
Luke Mistone,85.8,7.3,8.4,27.1,46,10,99,24,52,104
Jorge Rodriguez,85.8,31.8,22,22.3,46,97,55,56,58,117
Ryan Christiansen,85.8,24,34.9,32.1,46,80,3,5,30,60
Austin Irby,85.8,22.2,19.6,21.6,46,73,69,61,60,120
Aidan McAskie,85.8,24.3,28,25.3,46,81,22,35,42,84
Jamie Laskofski,85.8,15.3,15.4,24.7,46,39,88,39,56,112
Justin Nadeau,85.8,16.3,28.2,24.5,46,44,21,40,37,74
Dom Listi,85.8,20.5,18,14.4,46,65,77,94,68,136
Dane Watts,85.8,15.9,16.4,25.4,46,42,84,34,55,109
Will Cowan,85.8,23,14.4,19.7,46,76,90,73,69,139
Jake Martinez,85.7,13.7,18.6,24.9,45,32,75,37,50,101
Matthew Delgado,85.7,10.3,17.1,20.5,45,18,81,68,57,113
Nolan McCarthy,85.7,18.8,25.3,33.6,45,57,36,3,36,71
Sam Miller,85.7,19.2,22.6,32,45,59,52,6,41,83
Jake Perry,85.7,11.6,20.2,24.3,45,23,66,41,47,95
Andrew Raymond,85.7,15.2,14.2,19.5,45,39,91,74,64,128
Ike Shirey,85.7,14.8,15.1,21.4,45,37,88,62,60,121
Ryan Gerety,85.7,25.4,17.9,15.6,45,85,78,91,70,140
Gabe Roessler,85.7,14.9,11,15.3,45,37,97,92,69,138
Rex Watson,85.7,17.5,27.3,30.2,45,51,25,10,33,66
Philip Berstein,85.7,14.6,8.6,18,45,36,99,82,67,134
Kannon Coakley,85.7,10.3,24.5,22.4,45,18,40,55,42,83
Jimmy Brennan,85.7,19.6,22.7,21,45,61,51,65,53,107
Braden Sullivan,85.7,13.3,17.9,13.9,45,30,78,95,63,125
Ollie Obenour,85.7,16.1,19.7,24.6,45,43,69,39,51,102
Drew Leinenbach,85.7,20,25.7,26.7,45,63,33,26,40,81
Brenden OSullivan,85.7,20.5,18.1,25.6,45,65,77,33,55,111
Max Coupe,85.7,20.5,26.9,27.3,45,65,27,23,38,77
Brigs Richartz,85.6,14.9,11.4,19.1,44,37,96,76,65,130
Andres Matias,85.6,19.8,24.1,29.1,44,62,43,14,40,81
Evan Cloyd,85.6,23.6,23.1,17.7,44,79,49,83,59,117
Tyler Kamerer,85.6,11,14.9,24.9,44,21,89,37,53,106
Lance Trippel,85.6,14,23.5,18.3,44,33,46,81,50,101
Q Phillips,85.6,13.2,28,13.2,44,29,22,96,46,91
Owen Carapellotti,85.6,20.9,17.8,27.1,44,67,78,24,54,108
Tyler Large,85.6,22,26.7,20.1,44,72,28,70,49,98
Michael Sprockett,85.6,18.7,30.6,33.2,44,57,12,4,28,57
Peter Crespo,85.6,21.4,38.4,18.1,44,70,1,82,43,85
AJ Singer,85.6,12.5,12.8,20.5,44,26,94,68,61,123
Ty Mainolfi,85.6,12.6,10.7,14.7,44,27,97,93,67,135
Ty Rhoades,85.6,10.3,20.8,26.7,44,18,63,26,42,84
Tyler Minnick,85.6,15.7,15.3,30.5,44,41,88,9,50,100
Ethan Willoughby,85.6,11.1,15.8,22.1,44,21,86,57,56,112
Canon Reeder,85.6,19,23.5,20.7,44,58,46,67,51,103
Kaden Smith,85.6,18.6,20.7,25.3,44,56,63,35,50,100
Jordan Peyton,85.5,5.9,11.5,17.7,43,7,96,83,62,123
Terrick Thompson-Allen,85.5,11.7,23.8,25.9,43,23,45,31,38,76
Xander McAfee,85.5,20.5,23.8,33.4,43,65,45,3,39,78
Troy Sanders,85.5,7.5,17.7,19.8,43,10,79,72,55,110
Aidan Paradine,85.5,20.7,12.8,20.7,43,66,94,67,67,133
Adam Puder,85.5,13.6,14.7,17.7,43,31,90,83,63,127
Dane Small,85.5,4.3,11.9,20.4,43,5,95,69,58,116
Reese Lipoma,85.5,16.7,16.7,11.7,43,46,83,98,67,133
Ty Johnson,85.5,12.3,22.1,20.2,43,26,55,70,49,99
Ryan Lee,85.5,21.4,29.5,31.1,43,70,16,8,32,64
Tracer Lopez,85.5,15.8,18.5,27.5,43,42,75,22,48,97
Ryan Facinelli,85.5,18.8,35.1,20.9,43,57,3,65,38,75
Hayden Moore,85.5,20,27.4,18.9,43,63,24,77,47,95
Gus Freeman,85.5,14.5,15.9,19,43,35,86,77,62,123
David Ayers,85.5,24.5,37.2,28.4,43,82,1,17,31,63
Blake Jacklin,85.5,20.5,13.7,18.8,43,65,92,78,68,136
Dylan Grego,85.5,17.6,20,24.7,43,51,67,39,51,101
James Nelson,85.5,20.3,20.5,27.5,43,65,64,22,48,97
Tyler Albright,85.5,22.8,25.2,18.6,43,76,36,79,53,106
Bryce Campbell,85.5,19.8,24.3,24.8,43,62,41,38,45,89
Antonelli Savattere,85.5,9.7,16,24.1,43,16,86,43,52,104
Hunter Warren,85.5,10.3,19,20.1,43,18,73,70,54,108
Andrew Manning,85.5,20.4,30.5,22.1,43,65,12,57,40,80
Kyeler Thompson,85.5,8.3,14.4,18.4,43,12,90,80,60,120
Jason Green,85.5,20,31,22.7,43,63,11,53,38,77
Adrian Jimenez,85.4,9.5,17,24,42,16,82,44,50,101
Aaron Stelogeannis,85.4,13.1,21.5,29.2,42,29,59,14,40,79
Carter Jenkins,85.4,13.5,21.9,33.1,42,31,56,4,37,74
Nate Chronis,85.4,18.2,17.4,20.9,42,54,80,65,60,120
Jimmy King,85.4,14.1,15.3,20.3,42,34,88,69,60,120
Sean Scanlon,85.4,23.8,29.2,16.8,42,79,17,87,49,98
Zach Donahue,85.4,13.3,17.9,27.8,42,30,78,20,47,93
Daniel Moore,85.4,0,15.7,19.5,42,1,87,74,56,112
Andrew Walters,85.4,13.8,27.5,21.6,42,32,24,61,39,78
Jack Mislan,85.4,23.5,32.4,27.8,42,78,7,20,33,66
Isaac Lopez,85.4,16.4,16,19.8,42,45,86,72,62,123
Charlie Isom-McCall,85.4,8,14.6,16,42,11,90,90,61,123
Brooks Sailors,85.4,18.6,14.2,15.6,42,56,91,91,69,138
Easton Richter,85.4,30.8,29.5,21.4,42,96,16,62,46,93
Luis Pimentel-Guerrero,85.4,13,15,20,42,29,89,71,60,120
Keaton Campbell,85.4,6.1,16.9,26.3,42,7,82,28,46,93
Jordan Rogers,85.4,19.3,23.1,22,42,60,49,58,50,100
Chandler Tuupo,85.4,22.6,21.7,29.5,42,75,57,13,46,92
Gunner Antillon,85.3,22.4,11.9,14.8,42,74,95,93,73,146
Maddox Miesse,85.3,18.2,20.5,10.8,42,54,64,99,62,123
Jordan Bach,85.3,17.8,17.8,20,42,52,78,71,60,120
Matthew Rollison,85.3,15.3,24.2,36.8,42,39,42,1,33,66
Zeb Allen,85.3,8.1,14.3,21.2,42,12,91,63,56,112
Ryan LeClair,85.3,10.3,16.5,18.5,42,18,84,80,58,117
Colten Becker,85.3,25.9,30,22.2,42,86,14,56,43,86
Mateo Garcia,85.3,17.1,16,17.9,42,48,86,82,64,128
Tyler Epstein,85.3,17.1,22.4,20.4,42,48,53,69,51,103
Devin Obee,85.3,23.2,40,18.7,42,77,0,78,42,84
Jakob Bullard,85.3,7.9,27.3,18.9,42,11,25,77,39,78
Robert Tate Jr.,85.3,8.3,13.8,15.3,42,12,92,92,62,125
Pablo Santos,85.3,14.4,19.8,31.2,42,35,68,7,42,83
Jacob McCombs,85.3,18.9,14.8,32.8,42,58,89,4,51,102
Mateo Zeppieri,85.3,23.3,26,17.8,42,78,32,83,52,105
Carmelo Musacchia,85.3,11.7,24.1,25.3,42,23,43,35,38,75
Dom Krupinski,85.3,18.8,23.4,19.7,42,57,47,73,52,104
Ryan Drumm,85.3,15.4,25.8,27.7,42,40,33,20,34,69
Brock Murtha,85.2,19.7,21.7,23.3,41,62,57,49,50,101
Ryan Fenn,85.2,10.5,13.9,38,41,19,92,0,45,89
Wesley Helms,85.2,7.2,9,22.4,41,10,98,55,56,112
Carlos Jacome,85.2,12,16.2,20.6,41,24,85,67,57,114
Nicho Jordan,85.2,27.3,32.4,20.2,41,90,7,70,44,88
Jack Kail,85.2,14.8,11.9,31.3,41,37,95,7,50,100
Nick Mascaro,85.2,21.7,38.4,21.2,41,71,1,63,38,76
Cason Tollett,85.2,6.6,20.2,31.3,41,8,66,7,37,73
Kenneth Perez,85.2,17.8,22.3,29.5,41,52,54,13,41,81
Michael Zarrillo,85.2,16.7,25.1,28.3,41,46,37,18,36,71
Vince Cimini,85.2,13.1,20.3,22,41,29,66,58,50,100
Austin Phillips,85.2,22.9,23.5,30,41,76,46,11,42,83
Jake Berg,85.2,8.6,17.7,20.8,41,13,79,66,53,106
Jake Cook,85.2,7.7,9.7,21.3,41,11,98,63,58,115
Jack Schark,85.2,20.4,15.3,21.7,41,65,88,60,62,125
Mason Cisco,85.2,14.3,19.3,13,41,35,71,96,60,120
Andrew Horvath,85.2,15.9,16.5,22.9,41,42,84,51,56,112
Matt Rose,85.2,14.9,19.8,25,41,37,68,37,48,95
Steve Solorzano,85.2,16.4,18.4,24,41,45,76,44,52,105
Dylan Carey,85.2,22.6,25.8,30.1,41,75,33,10,37,75
Trey Lipsey,85.2,20.7,16.2,14.5,41,66,85,94,68,137
Tyler Kipp,85.2,15.8,20.5,20.2,41,42,64,70,54,108
Kamana Nahaku,85.2,31.8,24.1,23.9,41,97,43,44,50,101
Jack Toomey,85.1,14.7,21.8,23.6,40,36,57,46,46,91
Ben Vujovich,85.1,20,19.1,26.5,40,63,72,27,50,101
Ian Daugherty,85.1,26,24.9,27.8,40,87,38,20,42,84
Luke Stulga,85.1,12.1,30.7,35.2,40,25,12,1,21,43
Caleb Stelly,85.1,20.1,25.7,24.1,40,64,33,43,42,84
Casen Taggart,85.1,16.5,21.6,17.1,40,45,58,86,55,110
Kyle Branch,85.1,10.8,11.2,19.1,40,20,96,76,61,122
Brennan Holt,85.1,20.7,22.3,18.3,40,66,54,81,56,112
River Hart,85.1,16.1,32.5,23.4,40,43,7,48,32,64
Logan Poteet,85.1,16.1,28.3,25.5,40,43,20,33,33,66
Zack Thompson,85.1,17.9,25.5,31.7,40,53,34,6,33,67
Justin Lehman,85.1,18.1,22.8,30.7,40,54,51,9,39,78
Max Ortega,85.1,16.3,22,24.5,40,44,55,40,45,90
Kyle Langley,85.1,10.3,18.6,23.4,40,18,75,48,49,97
Ben Kim,85.1,0,8.9,22.5,40,1,98,54,54,109
Lucas Alberti,85.1,13,22.7,17.9,40,29,51,82,50,100
Alex Ulloa,85.1,16.3,28.7,32.1,40,44,19,5,27,54
Nathan Martinez,85.1,13.9,22.4,26.3,40,33,53,28,40,81
Brady Counsell,85.1,17.7,16.7,25.4,40,52,83,34,53,107
Nolan Sailors,85.1,17.3,18.3,24.4,40,49,76,41,52,105
Jarren Advincula,85,21.5,12.9,31.5,39,70,94,7,54,107
Elijah Rodriguez,85,19.6,19.7,23.4,39,61,69,48,53,106
Bryce Rudisill,85,18.3,22,24.7,39,55,55,39,46,92
Cooper Prince,85,3.6,18.6,10.8,39,4,75,99,56,112
Alex Adams,85,13.2,19,24.4,39,29,73,41,48,96
Bradley Garner,85,20.6,17.3,20.4,39,66,81,69,61,123
James Ward,85,16.8,19.5,28.4,39,47,70,17,45,90
Alex Espaillat,85,11.6,24.8,25.9,39,23,39,31,35,69
Tyler Dunn,85,12,16.1,15.7,39,24,85,91,61,122
Brady Miller,85,15.4,25.6,26.3,39,40,34,28,35,71
Brody Capps,85,11.1,17.1,17.6,39,21,81,84,58,116
Nyan Hayes,85,9.1,20.8,13.1,39,14,63,96,54,108
Logan Braunschweig,85,15.1,13.1,19.7,39,38,93,73,62,124
Cross Jumper,85,12.7,16.8,25.1,39,27,83,36,50,99
Jayson Gonzalez,85,0,12.6,9.7,39,1,94,99,62,124
Mark Wolbert,85,18.9,18.4,20.5,39,58,76,68,58,117
Noel Rivera,85,15.2,14.5,19.8,39,39,90,72,61,122
Camden Johnson,85,14.3,17.7,26.8,39,35,79,25,47,95
Axel Melendez,85,19.8,17.6,27.3,39,62,79,23,51,102
Ethan Plyler,85,16.9,19.6,23.3,39,47,69,49,51,102
Martell Davis,85,15.7,23.8,27,39,41,45,24,38,76
Nathan Negre,85,16.7,18.5,26.7,39,46,75,26,48,96
Randy Seymour,85,13.3,22.7,35.1,39,30,51,2,34,67
Cardell Thibodeaux,85,20,18.7,14.3,39,63,74,94,64,128
Kendall Brookins,85,0,7.5,8.5,39,1,99,100,63,127
Matthew Dieguez,85,19.1,23,22.8,39,59,49,52,48,95
Conner Cunningham,85,23.1,27.3,20.3,39,77,25,69,46,93
Jack Doyle,84.9,16.7,22.1,16.7,38,46,55,87,54,108
Cason Campbell,84.9,9.4,20.9,22.3,38,15,62,56,45,91
Carlos Martinez,84.9,11.6,21.4,24.9,38,23,59,37,42,84
Katcher Halligan,84.9,9.6,12.7,26.1,38,16,94,30,50,100
Luke Lawrence,84.9,15.1,16.7,27,38,38,83,24,49,97
Cooper Chaplain,84.9,8.5,24.8,24.1,38,13,39,43,35,71
Drew Wyers,84.9,14.3,14.4,18.5,38,35,90,80,61,123
Jayden Melendez,84.9,17.6,29.1,21.5,38,51,17,61,38,77
Curtis McKay,84.9,8.3,19.3,16.4,38,12,71,89,54,108
Jack Zebig,84.9,13.8,21.1,19.1,38,32,61,76,52,103
Jackson Smith,84.9,14.7,15.6,22.5,38,36,87,54,56,111
JoJo Montgomery,84.9,13.1,20.9,27.6,38,29,62,21,40,81
Austin Russell,84.9,7,20.3,24.1,38,9,66,43,43,86
Matt Ineich,84.9,8.7,9.2,16.7,38,13,98,87,62,124
Brody Linker,84.9,18.6,25.5,27.5,38,56,34,22,36,73
Chris Diaz,84.9,14.8,25.3,16.8,38,37,36,87,47,94
Josh Niles,84.9,28.6,21.6,16.6,38,92,58,88,62,124
Ethan Sitzman,84.9,11.2,10.8,14.6,38,21,97,94,64,128
Carter Hendrickson,84.8,12.9,17.4,17.9,37,28,80,82,58,115
Mitchell Cummins,84.8,20,27.5,16.6,37,63,24,88,47,94
Brodie Kresser,84.8,10.1,16.9,27.2,37,17,82,23,45,90
Jude Hall,84.8,15.7,35.6,20.2,37,41,3,70,34,68
T.J. Oster,84.8,11.8,23.6,30.1,37,24,46,10,32,65
Wells Sykes,84.8,17,26.6,36.1,37,48,28,1,29,58
Bradke Lohry,84.8,10.2,19.8,20.5,37,18,68,68,50,99
John Quinlan,84.8,13.1,20.6,20.9,37,29,64,65,49,99
Eddie Garza,84.8,15.6,17.4,20.1,37,41,80,70,57,114
TJ Anderson,84.8,9.4,12.4,17.5,37,15,95,84,60,121
Casey Sorg,84.8,4.8,23.8,21.1,37,5,45,64,40,80
Chris Walsh,84.8,12.2,19,18.9,37,25,73,77,54,108
Shunsuke Sakaino,84.8,12.5,18.3,17.9,37,26,76,82,56,112
Abbrie Covarrubias,84.8,16.8,22.1,27.4,37,47,55,22,41,82
Caleb Shpur,84.8,11.6,15.4,21.9,37,23,88,59,54,109
Luke Nixon,84.8,19.8,17.9,24.6,37,62,78,39,53,107
Blake Wilson,84.8,21.8,29.7,28.8,37,71,15,15,31,62
Cade Dodson,84.8,15,15.5,24.6,37,38,87,39,53,105
Ty DePerno,84.8,24.8,21.4,23.6,37,83,59,46,52,105
Jayce Tharnish,84.8,13.7,19.6,26.1,37,32,69,30,44,89
Cole Campbell,84.8,13.3,17,16.1,37,30,82,90,60,120
Eli Watson,84.8,10.3,19,28,37,18,73,19,41,82
Ty Sallie,84.7,25.4,28,17.5,36,85,22,84,49,97
Preston Lucas,84.7,16.7,18.4,21.6,36,46,76,61,54,109
Dawson Park,84.7,17.9,24.3,24.3,36,53,41,41,41,82
Christian Taylor,84.7,25.3,26.1,29.9,36,84,31,11,37,74
Jackson Trout,84.7,8.7,14.6,24.8,36,13,90,38,49,98
Lucas Rick,84.7,20,21.9,22.5,36,63,56,54,50,100
Landon Akers,84.7,10.7,9.6,22.1,36,19,98,57,56,113
Derek Smith,84.7,18.5,41.4,27.2,36,56,0,23,26,51
Tyler Palmer,84.7,15.6,23.1,22,36,41,49,58,45,90
Jack Quinlan,84.7,22.1,27.6,26,36,73,24,30,37,73
Jordan Carrion,84.7,10.6,19.8,27.7,36,19,68,20,40,80
Tanner Marsh,84.7,15.7,22.5,24.7,36,41,52,39,42,85
Justen Crews,84.7,6.7,8.7,19.3,36,8,99,75,58,117
Kyle Gibson,84.7,7.3,14.8,20,36,10,89,71,55,110
Kyle Panganiban,84.7,17.6,21.7,35.7,36,51,57,1,38,75
Miggy Echazarreta,84.7,17.6,13.3,10.9,36,51,93,99,68,136
Gus Gregory,84.7,19.4,19.3,20,36,60,71,71,57,114
Garrett Cutting,84.7,14.7,29.1,25.3,36,36,17,35,30,60
Bode Grieve,84.7,17.3,23.1,24.4,36,49,49,41,43,86
Easton Talt,84.6,16.9,18.5,17.2,35,47,75,86,59,118
Charlie Walsh,84.6,12.6,22.7,18.2,35,27,51,81,48,96
Temo Becerra,84.6,16.8,16,29.3,35,47,86,13,48,95
Gabe Natividad,84.6,12.4,15.2,20.1,35,26,88,70,57,113
Casey Smith,84.6,0,27.6,15.4,35,1,24,92,38,76
Case Sullivan,84.6,21.1,31.5,27.1,35,68,9,24,30,60
Kaden Peer,84.6,18.9,30.2,28.9,35,58,13,15,28,56
Matt Flaharty,84.6,13.7,26.2,29.7,35,32,31,12,29,57
Will Gasparin,84.6,18.8,28.5,31.3,35,57,19,7,28,56
Jake Randolph,84.6,11.6,13,26.5,35,23,94,27,49,98
Brantley Truitt,84.6,16.5,19,27.5,35,45,73,22,45,90
Matt Olive,84.6,22.6,28.4,20.7,35,75,20,67,43,86
Balin Valentine,84.6,25.5,23.9,21.3,35,85,44,63,51,102
Charlie Scholvin,84.6,13.8,14.6,27.1,35,32,90,24,49,98
Daedrick Cail,84.6,12.5,20.1,26.6,35,26,67,27,42,83
Ryan Dooley,84.5,13.7,15,25.1,34,32,89,36,51,101
Riley Acosta,84.5,9.4,12.8,20.6,34,15,94,67,56,112
